dataset,method,metric,score
sce_umap_Placenta,mnncorrect,batch_entropy,0.48
sce_umap_Placenta,mnncorrect,cell_type_entropy,0.097
sce_umap_Placenta,scanorama,batch_entropy,0.584
sce_umap_Placenta,scanorama,cell_type_entropy,0.097
sce_umap_Placenta,seurat3,batch_entropy,0.69
sce_umap_Placenta,seurat3,cell_type_entropy,0.125
sce_umap_SmallIntestine,combat,batch_entropy,0.421
sce_umap_SmallIntestine,combat,cell_type_entropy,0.147
sce_umap_SmallIntestine,fastmnn,batch_entropy,0.534
sce_umap_SmallIntestine,fastmnn,cell_type_entropy,0.151
sce_umap_SmallIntestine,harmony,batch_entropy,0.679
sce_umap_SmallIntestine,harmony,cell_type_entropy,0.217
sce_umap_SmallIntestine,limma,batch_entropy,0.373
sce_umap_SmallIntestine,limma,cell_type_entropy,0.132
sce_umap_SmallIntestine,logcounts,batch_entropy,0.366
sce_umap_SmallIntestine,logcounts,cell_type_entropy,0.128
sce_umap_SmallIntestine,mnncorrect,batch_entropy,0.402
sce_umap_SmallIntestine,mnncorrect,cell_type_entropy,0.14
sce_umap_SmallIntestine,scanorama,batch_entropy,0.498
sce_umap_SmallIntestine,scanorama,cell_type_entropy,0.141
sce_umap_SmallIntestine,seurat3,batch_entropy,0.83
sce_umap_SmallIntestine,seurat3,cell_type_entropy,0.277
sce_umap_Testis,combat,batch_entropy,0.101
sce_umap_Testis,combat,cell_type_entropy,0.352
sce_umap_Testis,fastmnn,batch_entropy,0.215
sce_umap_Testis,fastmnn,cell_type_entropy,0.351
sce_umap_Testis,harmony,batch_entropy,0.656
sce_umap_Testis,harmony,cell_type_entropy,0.435
sce_umap_Testis,limma,batch_entropy,0.097
sce_umap_Testis,limma,cell_type_entropy,0.353
sce_umap_Testis,logcounts,batch_entropy,0.035
sce_umap_Testis,logcounts,cell_type_entropy,0.345
sce_umap_Testis,mnncorrect,batch_entropy,0.084
sce_umap_Testis,mnncorrect,cell_type_entropy,0.352
sce_umap_Testis,scanorama,batch_entropy,0.524
sce_umap_Testis,scanorama,cell_type_entropy,0.398
sce_umap_Testis,seurat3,batch_entropy,0.716
sce_umap_Testis,seurat3,cell_type_entropy,0.443
sce_umap_Uterus,combat,batch_entropy,0.343
sce_umap_Uterus,combat,cell_type_entropy,0.23
sce_umap_Uterus,fastmnn,batch_entropy,0.461
sce_umap_Uterus,fastmnn,cell_type_entropy,0.225
sce_umap_Uterus,harmony,batch_entropy,0.563
sce_umap_Uterus,harmony,cell_type_entropy,0.288
sce_umap_Uterus,limma,batch_entropy,0.345
sce_umap_Uterus,limma,cell_type_entropy,0.242
sce_umap_Uterus,logcounts,batch_entropy,0.04
sce_umap_Uterus,logcounts,cell_type_entropy,0.171
sce_umap_Uterus,mnncorrect,batch_entropy,0.277
sce_umap_Uterus,mnncorrect,cell_type_entropy,0.2
sce_umap_Uterus,scanorama,batch_entropy,0.371
sce_umap_Uterus,scanorama,cell_type_entropy,0.214
sce_umap_Uterus,seurat3,batch_entropy,0.715
sce_umap_Uterus,seurat3,cell_type_entropy,0.351
sub_panc_hvg_pick,combat,batch_entropy,0.298
sub_panc_hvg_pick,combat,cell_type_entropy,0.049
sub_panc_hvg_pick,fastmnn,batch_entropy,0.478
sub_panc_hvg_pick,fastmnn,cell_type_entropy,0.047
sub_panc_hvg_pick,harmony,batch_entropy,0.749
sub_panc_hvg_pick,harmony,cell_type_entropy,0.083
sub_panc_hvg_pick,limma,batch_entropy,0.373
sub_panc_hvg_pick,limma,cell_type_entropy,0.045
sub_panc_hvg_pick,logcounts,batch_entropy,0.038
sub_panc_hvg_pick,logcounts,cell_type_entropy,0.041
sub_panc_hvg_pick,mnncorrect,batch_entropy,0.385
sub_panc_hvg_pick,mnncorrect,cell_type_entropy,0.039
sub_panc_hvg_pick,scanorama,batch_entropy,0.458
sub_panc_hvg_pick,scanorama,cell_type_entropy,0.039
sub_panc_hvg_pick,seurat3,batch_entropy,0.833
sub_panc_hvg_pick,seurat3,cell_type_entropy,0.086
sub_panc_hvg_rand,combat,batch_entropy,0.486
sub_panc_hvg_rand,combat,cell_type_entropy,0.075
sub_panc_hvg_rand,fastmnn,batch_entropy,0.679
sub_panc_hvg_rand,fastmnn,cell_type_entropy,0.046
sub_panc_hvg_rand,harmony,batch_entropy,0.756
sub_panc_hvg_rand,harmony,cell_type_entropy,0.076
sub_panc_hvg_rand,limma,batch_entropy,0.511
sub_panc_hvg_rand,limma,cell_type_entropy,0.083
sub_panc_hvg_rand,logcounts,batch_entropy,0.114
sub_panc_hvg_rand,logcounts,cell_type_entropy,0.09
sub_panc_hvg_rand,mnncorrect,batch_entropy,0.584
