source,tissue,dataset,type,cell_type,method,score
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Doubao-1.6,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Gemini-2.0,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Gemini-2.5,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,GPT-4o,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,GPT-5,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Grok-3,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Grok-4,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,Kimi-k2,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,CellMarker2.0,0.5
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,ScType,0
HCL,Spleen,HCL_Spleen,Broad Cell type,B cell,SingleR,1
HCL,Spleen,HCL_Spleen,Broad Cell type,Endothelial cell,Claude-3.7,1
HCL,Spleen,HCL_Spleen,Broad Cell type,Endothelial cell,Claude-4.1,1
