dataset,scenario,method,metric,score
bct,randomly_missing_70,scANVI,isolated_label_silhouette,0.585208
bct,randomly_missing_70,scANVI,kBET,0.233521
bct,randomly_missing_70,scANVI,lisi_b,0.312317
bct,randomly_missing_70,scANVI,lisi_c,0.987959
bct,randomly_missing_70,scANVI,lisi_f1,0.474602
bct,randomly_missing_70,scANVI,pos_rate,0.99478
bct,randomly_missing_70,scANVI,truepos_rate,0.362276
bct,randomly_missing_70,scDREAMER,ARI_cluster/label,0.703579
bct,randomly_missing_70,scDREAMER,ASW_label,0.725192
bct,randomly_missing_70,scDREAMER,ASW_label/batch,0.947203
bct,randomly_missing_70,scDREAMER,NMI_cluster/label,0.79867
bct,randomly_missing_70,scDREAMER,graph_conn,1
bct,randomly_missing_70,scDREAMER,isolated_label_F1,0.813466
bct,randomly_missing_70,scDREAMER,isolated_label_silhouette,0.719819
bct,randomly_missing_70,scDREAMER,kBET,0.430289
bct,randomly_missing_70,scDREAMER,lisi_b,0.367914
bct,randomly_missing_70,scDREAMER,lisi_c,0.994315
bct,randomly_missing_70,scDREAMER,lisi_f1,0.537093
bct,randomly_missing_70,scDREAMER,pos_rate,0.995302
bct,randomly_missing_70,scDREAMER,truepos_rate,0.601705
bct,randomly_missing_70,scGEN,ARI_cluster/label,0.975791
bct,randomly_missing_70,scGEN,ASW_label,0.639255
bct,randomly_missing_70,scGEN,ASW_label/batch,0.860444
bct,randomly_missing_70,scGEN,NMI_cluster/label,0.952341
bct,randomly_missing_70,scGEN,graph_conn,0.999103
bct,randomly_missing_70,scGEN,isolated_label_F1,0.992633
bct,randomly_missing_70,scGEN,isolated_label_silhouette,0.626386
bct,randomly_missing_70,scGEN,kBET,0.101819
bct,randomly_missing_70,scGEN,lisi_b,0.151502
bct,randomly_missing_70,scGEN,lisi_c,0.991421
bct,randomly_missing_70,scGEN,lisi_f1,0.262839
bct,randomly_missing_70,scGEN,pos_rate,0.993562
bct,randomly_missing_70,scGEN,truepos_rate,0.122847
bct,randomly_wrong_30,ItClust,ARI_cluster/label,0.198813
bct,randomly_wrong_30,ItClust,ASW_label,0.638452
bct,randomly_wrong_30,ItClust,ASW_label/batch,0.927388
bct,randomly_wrong_30,ItClust,NMI_cluster/label,0.258525
bct,randomly_wrong_30,ItClust,graph_conn,0.846186
bct,randomly_wrong_30,ItClust,kBET,0.499687
bct,randomly_wrong_30,ItClust,pos_rate,0.776405
bct,randomly_wrong_30,ItClust,truepos_rate,0.543588
bct,randomly_wrong_30,STACAS,ARI_cluster/label,0.953609
bct,randomly_wrong_30,STACAS,ASW_label,0.60847
bct,randomly_wrong_30,STACAS,ASW_label/batch,0.827073
bct,randomly_wrong_30,STACAS,NMI_cluster/label,0.92862
bct,randomly_wrong_30,STACAS,graph_conn,0.999749
bct,randomly_wrong_30,STACAS,kBET,0.0830235
bct,randomly_wrong_30,STACAS,pos_rate,0.99478
bct,randomly_wrong_30,STACAS,truepos_rate,0.103532
bct,randomly_wrong_30,scANVI,ARI_cluster/label,0.973075
bct,randomly_wrong_30,scANVI,ASW_label,0.566679
bct,randomly_wrong_30,scANVI,ASW_label/batch,0.95527
bct,randomly_wrong_30,scANVI,NMI_cluster/label,0.945951
bct,randomly_wrong_30,scANVI,graph_conn,1
bct,randomly_wrong_30,scANVI,kBET,0.215019
bct,randomly_wrong_30,scANVI,pos_rate,0.993736
bct,randomly_wrong_30,scANVI,truepos_rate,0.342962
bct,randomly_wrong_30,scDREAMER,ARI_cluster/label,0.59761
bct,randomly_wrong_30,scDREAMER,ASW_label,0.692071
bct,randomly_wrong_30,scDREAMER,ASW_label/batch,0.951042
bct,randomly_wrong_30,scDREAMER,NMI_cluster/label,0.706338
bct,randomly_wrong_30,scDREAMER,graph_conn,1
bct,randomly_wrong_30,scDREAMER,kBET,0.46113
bct,randomly_wrong_30,scDREAMER,pos_rate,0.996694
bct,randomly_wrong_30,scDREAMER,truepos_rate,0.63233
bct,randomly_wrong_30,scGEN,ARI_cluster/label,0.981062
bct,randomly_wrong_30,scGEN,ASW_label,0.64029
bct,randomly_wrong_30,scGEN,ASW_label/batch,0.852692
bct,randomly_wrong_30,scGEN,NMI_cluster/label,0.962058
bct,randomly_wrong_30,scGEN,graph_conn,0.999328
bct,randomly_wrong_30,scGEN,kBET,0.0600345
bct,randomly_wrong_30,scGEN,pos_rate,0.992692
bct,randomly_wrong_30,scGEN,truepos_rate,0.125457
bct,randomly_wrong_50,ItClust,ARI_cluster/label,0.042617
bct,randomly_wrong_50,ItClust,ASW_label,0.517088
bct,randomly_wrong_50,ItClust,ASW_label/batch,0.953454
bct,randomly_wrong_50,ItClust,NMI_cluster/label,0.0891309
bct,randomly_wrong_50,ItClust,graph_conn,0.660928
bct,randomly_wrong_50,ItClust,kBET,0.483411
bct,randomly_wrong_50,ItClust,pos_rate,0.554724
bct,randomly_wrong_50,ItClust,truepos_rate,0.361058
bct,randomly_wrong_50,STACAS,ARI_cluster/label,0.954554
bct,randomly_wrong_50,STACAS,ASW_label,0.607391
bct,randomly_wrong_50,STACAS,ASW_label/batch,0.822783
bct,randomly_wrong_50,STACAS,NMI_cluster/label,0.931271
bct,randomly_wrong_50,STACAS,graph_conn,0.999875
bct,randomly_wrong_50,STACAS,kBET,0.0931475
bct,randomly_wrong_50,STACAS,pos_rate,0.995302
bct,randomly_wrong_50,STACAS,truepos_rate,0.100748
bct,randomly_wrong_50,scANVI,ARI_cluster/label,0.969456
bct,randomly_wrong_50,scANVI,ASW_label,0.564494
bct,randomly_wrong_50,scANVI,ASW_label/batch,0.955734
bct,randomly_wrong_50,scANVI,NMI_cluster/label,0.941517
bct,randomly_wrong_50,scANVI,graph_conn,1
bct,randomly_wrong_50,scANVI,kBET,0.214167
bct,randomly_wrong_50,scANVI,pos_rate,0.991474
bct,randomly_wrong_50,scANVI,truepos_rate,0.345572
bct,randomly_wrong_50,scDREAMER,ARI_cluster/label,0.43388
bct,randomly_wrong_50,scDREAMER,ASW_label,0.677179
bct,randomly_wrong_50,scDREAMER,ASW_label/batch,0.953206
bct,randomly_wrong_50,scDREAMER,NMI_cluster/label,0.649888
bct,randomly_wrong_50,scDREAMER,graph_conn,1
bct,randomly_wrong_50,scDREAMER,kBET,0.449765
bct,randomly_wrong_50,scDREAMER,pos_rate,0.995998
bct,randomly_wrong_50,scDREAMER,truepos_rate,0.64799
bct,randomly_wrong_50,scGEN,ARI_cluster/label,0.832467
bct,randomly_wrong_50,scGEN,ASW_label,0.626106
bct,randomly_wrong_50,scGEN,ASW_label/batch,0.835815
bct,randomly_wrong_50,scGEN,NMI_cluster/label,0.867417
bct,randomly_wrong_50,scGEN,graph_conn,0.999552
bct,randomly_wrong_50,scGEN,kBET,0.0287965
bct,randomly_wrong_50,scGEN,pos_rate,0.994084
bct,randomly_wrong_50,scGEN,truepos_rate,0.0572473
bct,randomly_wrong_70,ItClust,ARI_cluster/label,0.574519
bct,randomly_wrong_70,ItClust,ASW_label,0.844218
bct,randomly_wrong_70,ItClust,ASW_label/batch,0.564268
bct,randomly_wrong_70,ItClust,NMI_cluster/label,0.701483
bct,randomly_wrong_70,ItClust,graph_conn,0.99853
bct,randomly_wrong_70,ItClust,kBET,0.0681988
bct,randomly_wrong_70,ItClust,pos_rate,0.98695
