method_id,dataset_id,metric_id,score
combat,cellxgene_census/mouse_pancreas_atlas,ari,0.565
combat,cellxgene_census/mouse_pancreas_atlas,asw_batch,0.9096
combat,cellxgene_census/mouse_pancreas_atlas,asw_label,0.552
combat,cellxgene_census/mouse_pancreas_atlas,cell_cycle_conservation,0.7324
combat,cellxgene_census/mouse_pancreas_atlas,clisi,1
combat,cellxgene_census/mouse_pancreas_atlas,graph_connectivity,0.9465
combat,cellxgene_census/mouse_pancreas_atlas,hvg_overlap,0.5869
combat,cellxgene_census/mouse_pancreas_atlas,ilisi,0.032
combat,cellxgene_census/mouse_pancreas_atlas,isolated_label_asw,0.6886
combat,cellxgene_census/mouse_pancreas_atlas,isolated_label_f1,0.7642
combat,cellxgene_census/mouse_pancreas_atlas,kbet,
combat,cellxgene_census/mouse_pancreas_atlas,nmi,0.7488
combat,cellxgene_census/mouse_pancreas_atlas,pcr,1
combat,cellxgene_census/tabula_sapiens,ari,0.3682
combat,cellxgene_census/tabula_sapiens,asw_batch,0.7978
combat,cellxgene_census/tabula_sapiens,asw_label,0.4898
combat,cellxgene_census/tabula_sapiens,cell_cycle_conservation,0.7141
combat,cellxgene_census/tabula_sapiens,clisi,0.9994
combat,cellxgene_census/tabula_sapiens,graph_connectivity,0.8764
combat,cellxgene_census/tabula_sapiens,hvg_overlap,0.5474
combat,cellxgene_census/tabula_sapiens,ilisi,0.001
combat,cellxgene_census/tabula_sapiens,isolated_label_asw,0.5591
combat,cellxgene_census/tabula_sapiens,isolated_label_f1,0.077
combat,cellxgene_census/tabula_sapiens,kbet,0.2899
combat,cellxgene_census/tabula_sapiens,nmi,0.7249
combat,cellxgene_census/tabula_sapiens,pcr,1
geneformer,cellxgene_census/dkd,ari,0.0024
geneformer,cellxgene_census/dkd,asw_batch,0.4736
geneformer,cellxgene_census/dkd,asw_label,0.364
geneformer,cellxgene_census/dkd,cell_cycle_conservation,0.0527
geneformer,cellxgene_census/dkd,clisi,0.7461
geneformer,cellxgene_census/dkd,graph_connectivity,0.0109
geneformer,cellxgene_census/dkd,hvg_overlap,
geneformer,cellxgene_census/dkd,ilisi,0
geneformer,cellxgene_census/dkd,isolated_label_asw,
geneformer,cellxgene_census/dkd,isolated_label_f1,
geneformer,cellxgene_census/dkd,kbet,0
geneformer,cellxgene_census/dkd,nmi,0.0315
geneformer,cellxgene_census/dkd,pcr,0
geneformer,cellxgene_census/gtex_v9,ari,0.0561
geneformer,cellxgene_census/gtex_v9,asw_batch,0.4056
geneformer,cellxgene_census/gtex_v9,asw_label,0.2598
geneformer,cellxgene_census/gtex_v9,cell_cycle_conservation,0.3616
geneformer,cellxgene_census/gtex_v9,clisi,0.9645
geneformer,cellxgene_census/gtex_v9,graph_connectivity,0.081
geneformer,cellxgene_census/gtex_v9,hvg_overlap,
geneformer,cellxgene_census/gtex_v9,ilisi,0
geneformer,cellxgene_census/gtex_v9,isolated_label_asw,0.4544
geneformer,cellxgene_census/gtex_v9,isolated_label_f1,0.0802
geneformer,cellxgene_census/gtex_v9,kbet,0.019
geneformer,cellxgene_census/gtex_v9,nmi,0.3951
geneformer,cellxgene_census/gtex_v9,pcr,0
geneformer,cellxgene_census/hypomap,ari,
geneformer,cellxgene_census/hypomap,asw_batch,
geneformer,cellxgene_census/hypomap,asw_label,
geneformer,cellxgene_census/hypomap,cell_cycle_conservation,
geneformer,cellxgene_census/hypomap,clisi,
geneformer,cellxgene_census/hypomap,graph_connectivity,
geneformer,cellxgene_census/hypomap,hvg_overlap,
geneformer,cellxgene_census/hypomap,ilisi,
geneformer,cellxgene_census/hypomap,isolated_label_asw,
geneformer,cellxgene_census/hypomap,isolated_label_f1,
geneformer,cellxgene_census/hypomap,kbet,
geneformer,cellxgene_census/hypomap,nmi,
geneformer,cellxgene_census/hypomap,pcr,
geneformer,cellxgene_census/immune_cell_atlas,ari,0.0073
geneformer,cellxgene_census/immune_cell_atlas,asw_batch,0.5615
geneformer,cellxgene_census/immune_cell_atlas,asw_label,0.2848
geneformer,cellxgene_census/immune_cell_atlas,cell_cycle_conservation,0.2273
geneformer,cellxgene_census/immune_cell_atlas,clisi,0.8267
geneformer,cellxgene_census/immune_cell_atlas,graph_connectivity,0.0186
geneformer,cellxgene_census/immune_cell_atlas,hvg_overlap,
geneformer,cellxgene_census/immune_cell_atlas,ilisi,0
geneformer,cellxgene_census/immune_cell_atlas,isolated_label_asw,0.2837
geneformer,cellxgene_census/immune_cell_atlas,isolated_label_f1,0.0236
geneformer,cellxgene_census/immune_cell_atlas,kbet,0
geneformer,cellxgene_census/immune_cell_atlas,nmi,0.1023
geneformer,cellxgene_census/immune_cell_atlas,pcr,0
geneformer,cellxgene_census/mouse_pancreas_atlas,ari,
geneformer,cellxgene_census/mouse_pancreas_atlas,asw_batch,
geneformer,cellxgene_census/mouse_pancreas_atlas,asw_label,
geneformer,cellxgene_census/mouse_pancreas_atlas,cell_cycle_conservation,
geneformer,cellxgene_census/mouse_pancreas_atlas,clisi,
geneformer,cellxgene_census/mouse_pancreas_atlas,graph_connectivity,
geneformer,cellxgene_census/mouse_pancreas_atlas,hvg_overlap,
geneformer,cellxgene_census/mouse_pancreas_atlas,ilisi,
geneformer,cellxgene_census/mouse_pancreas_atlas,isolated_label_asw,
geneformer,cellxgene_census/mouse_pancreas_atlas,isolated_label_f1,
geneformer,cellxgene_census/mouse_pancreas_atlas,kbet,
geneformer,cellxgene_census/mouse_pancreas_atlas,nmi,
geneformer,cellxgene_census/mouse_pancreas_atlas,pcr,
geneformer,cellxgene_census/tabula_sapiens,ari,0.0736
geneformer,cellxgene_census/tabula_sapiens,asw_batch,0.2435
geneformer,cellxgene_census/tabula_sapiens,asw_label,0.1203
geneformer,cellxgene_census/tabula_sapiens,cell_cycle_conservation,0.3547
geneformer,cellxgene_census/tabula_sapiens,clisi,0.9851
geneformer,cellxgene_census/tabula_sapiens,graph_connectivity,0.0981
geneformer,cellxgene_census/tabula_sapiens,hvg_overlap,
geneformer,cellxgene_census/tabula_sapiens,ilisi,0
geneformer,cellxgene_census/tabula_sapiens,isolated_label_asw,0.6408
geneformer,cellxgene_census/tabula_sapiens,isolated_label_f1,0.1005
geneformer,cellxgene_census/tabula_sapiens,kbet,0.0672
geneformer,cellxgene_census/tabula_sapiens,nmi,0.4701
geneformer,cellxgene_census/tabula_sapiens,pcr,0
harmony,cellxgene_census/dkd,ari,0.7867
harmony,cellxgene_census/dkd,asw_batch,0.9066
harmony,cellxgene_census/dkd,asw_label,0.6466
harmony,cellxgene_census/dkd,cell_cycle_conservation,0.8495
harmony,cellxgene_census/dkd,clisi,1
harmony,cellxgene_census/dkd,graph_connectivity,0.977
harmony,cellxgene_census/dkd,hvg_overlap,
harmony,cellxgene_census/dkd,ilisi,0.333
harmony,cellxgene_census/dkd,isolated_label_asw,
harmony,cellxgene_census/dkd,isolated_label_f1,
harmony,cellxgene_census/dkd,kbet,0.4251
harmony,cellxgene_census/dkd,nmi,0.8322
harmony,cellxgene_census/dkd,pcr,0.6805
harmony,cellxgene_census/gtex_v9,ari,0.6101
harmony,cellxgene_census/gtex_v9,asw_batch,0.8814
harmony,cellxgene_census/gtex_v9,asw_label,0.4946
harmony,cellxgene_census/gtex_v9,cell_cycle_conservation,0.7507
harmony,cellxgene_census/gtex_v9,clisi,0.9959
harmony,cellxgene_census/gtex_v9,graph_connectivity,0.8829
harmony,cellxgene_census/gtex_v9,hvg_overlap,
harmony,cellxgene_census/gtex_v9,ilisi,0.1194
harmony,cellxgene_census/gtex_v9,isolated_label_asw,0.5958
harmony,cellxgene_census/gtex_v9,isolated_label_f1,0.0256
harmony,cellxgene_census/gtex_v9,kbet,0.2943
harmony,cellxgene_census/gtex_v9,nmi,0.729
harmony,cellxgene_census/gtex_v9,pcr,0.6824
harmony,cellxgene_census/hypomap,ari,0.458
harmony,cellxgene_census/hypomap,asw_batch,0.8009
harmony,cellxgene_census/hypomap,asw_label,0.6463
harmony,cellxgene_census/hypomap,cell_cycle_conservation,0.6202
harmony,cellxgene_census/hypomap,clisi,1
harmony,cellxgene_census/hypomap,graph_connectivity,0.9123
harmony,cellxgene_census/hypomap,hvg_overlap,
